,Region,Year,Estimate,Forest Area,Agri %land area,GDP per capita,Protected areas %land,estimate,se,df,t.stat,p.value,lower.ci,upper.ci
0,Central Africa,2003,177.8,,19.360971903487403,1256.6121213983074,,0.609028018,0.06949581,164,8.763521363999999,2.28e-15,0.49471758200000004,0.723338453
1,Central Africa,2004,694.2857142857143,,17.39046096080518,1965.6367309356247,,0.645261967,0.061805700000000005,164,10.44016925,6.94e-20,0.543600638,0.746923297
2,Central Africa,2005,270.0,54.87777777777777,23.35792083556234,2679.2469007667537,,0.45180278799999996,0.077132163,164,5.857514806,2.5e-08,0.32493167,0.578673906
3,Central Africa,2006,1360.0,,19.5795908318386,3996.676504992284,,0.509828535,0.102027635,164,4.996965132,1.48e-06,0.342008009,0.6776490609999999
4,Central Africa,2007,181.6,,20.63028703654258,3270.5508636888376,,0.73278224,0.081226066,164,9.021515875,4.759999999999999e-16,0.599177252,0.8663872290000001
5,Central Africa,2008,855.1428571428571,,18.596298884361143,5874.563413721768,,0.747129939,0.078417652,164,9.527573464,2.1199999999999998e-17,0.61814438,0.876115498
6,Central Africa,2009,2183.0,,20.89830367836574,4688.323263336898,,0.632434861,0.10073903099999999,164,6.277952602999999,2.95e-09,0.4667339,0.7981358209999999
7,Central Africa,2010,44.0,45.325,14.794848928824162,2202.2127915663987,,0.719305403,0.08712312800000001,164,8.256193524,4.74e-14,0.576000611,0.862610196
8,Central Africa,2011,860.7096774193549,62.20952380952382,19.595455245767536,3770.8541750876616,,0.866633078,0.06983360200000001,164,12.40997243,2.32e-25,0.7517670240000001,0.981499131
9,Central Africa,2012,1004.8076923076923,50.355000000000004,17.85673430695457,2596.934960389739,,0.816012127,0.08143792,164,10.02005114,9.81e-19,0.6820586679999999,0.949965585
10,Central Africa,2013,1182.9285714285713,51.60833333333334,21.849748960926732,3689.774321203767,,0.7332864640000001,0.094656339,164,7.7468289079999995,9.279999999999999e-13,0.577590642,0.888982287
11,Central Africa,2014,798.3913043478261,40.38,17.14122076647005,1898.2721019313105,,0.77673599,0.07499617900000001,164,10.35700756,1.17e-19,0.6533782539999999,0.900093727
12,Central Africa,2015,442.35714285714283,31.99999999999999,23.949037978833754,1718.9282351405948,,0.725292807,0.07555415,164,9.599642246,1.35e-17,0.60101729,0.849568324
13,Central Africa,2016,,48.26666666666667,20.180299174496078,2995.349133873094,15.99796008035723,0.752304251,0.070886171,164,10.61284933,2.3199999999999997e-20,0.635706876,0.868901626
14,Central Africa,2017,,,,3093.7561124222098,18.04158814447002,0.6906725579999999,0.07569917400000001,164,9.123911368,2.55e-16,0.566158497,0.81518662
15,Central Africa,2018,,,,3380.2341676520045,18.04158814447002,0.7519798240000001,0.091519542,164,8.216603869,5.99e-14,0.601443573,0.902516075
16,Eastern Africa,2003,464.14285714285717,,53.04058751259092,331.25344844627955,,0.251245515,0.072172156,166,3.481197298,0.00063796,0.132532882,0.369958147
17,Eastern Africa,2004,6.0,,58.94607175828938,326.84391376215245,,0.318210416,0.077363844,166,4.113167056,6.13e-05,0.19095821600000001,0.44546261600000003
18,Eastern Africa,2005,1184.3333333333333,9.75,52.29052939587154,447.55672060236174,,0.239593645,0.079289863,166,3.0217437119999997,0.0029116190000000003,0.10917342599999999,0.37001386399999997
19,Eastern Africa,2006,,,58.21550615662854,413.730355795309,,0.228931453,0.07774717099999999,166,2.944563132,0.003698333,0.10104873699999999,0.35681416899999996
20,Eastern Africa,2007,994.0,,55.22707875270889,597.1599639559968,,0.277187721,0.074790813,166,3.7061734060000004,0.000286365,0.154167782,0.400207661
21,Eastern Africa,2008,,,58.86534717191645,717.2829417364508,,0.482206426,0.066062982,166,7.29919252,1.1399999999999999e-11,0.37354249,0.590870363
22,Eastern Africa,2009,19.0,,60.64390228473991,703.4881490352184,,0.262567699,0.060809427,166,4.317878199,2.7000000000000002e-05,0.162545092,0.362590305
