,Region,Year,Forest Area,GCB,HDI,HER,PIA,LE Score,Reporting Score,Agri %land area,GDP per capita,Protected areas %land,estimate
0,Central Africa,2003,50.83930465461037,0.6035714285714285,0.5234494490103734,0.3370267318465848,0.3591666666666667,2.5,0.8037439314947473,19.360971903487403,1256.6121213983076,18.508315484508927,0.609028018
1,Central Africa,2004,51.640813481825475,0.6423809523809524,0.5154051726459815,0.3541809092867917,0.33875000000000005,2.7142857142857144,0.8052597892052084,17.39046096080518,1965.6367309356249,17.011885912077492,0.645261967
2,Central Africa,2005,54.87777777777777,0.6035714285714285,0.5324051270080683,0.38198802341449406,0.3591666666666667,2.375,0.9527806213721722,23.35792083556234,2679.2469007667537,23.19085144934973,0.45180278799999996
3,Central Africa,2006,64.04092114384297,0.6811904761904762,0.5381818181818181,0.3713690476190476,0.3591666666666667,2.2,0.9589035789228249,19.5795908318386,3996.676504992284,19.156813793169373,0.509828535
4,Central Africa,2007,49.74664481402096,0.5453571428571429,0.5374469237399102,0.4135640397184516,0.40593750000000006,1.6666666666666667,0.8501017064062893,20.63028703654258,3270.5508636888376,16.500472235345484,0.73278224
5,Central Africa,2008,61.30482440214553,0.6734285714285714,0.5642979841509254,0.3654999608234903,0.3591666666666667,2.125,0.8591499100600195,18.596298884361143,5874.563413721768,17.55183715704209,0.747129939
6,Central Africa,2009,59.82217114384296,0.6423809523809524,0.5460000000000002,0.384,0.37787500000000007,2.0,0.8310050236166873,20.89830367836574,4688.323263336898,19.252853365599126,0.632434861
7,Central Africa,2010,45.325,0.6035714285714285,0.47840368455074345,0.30101743158801975,0.32650000000000007,2.4285714285714284,0.7592490290820948,14.794848928824162,2202.2127915663987,15.708158931264283,0.719305403
8,Central Africa,2011,62.20952380952382,0.6268571428571428,0.5686538179374315,0.32241157940099113,0.39658333333333334,1.9,1.1595858427859385,19.595455245767536,3770.8541750876616,20.040455048636577,0.866633078
9,Central Africa,2012,50.355000000000004,0.4666666666666666,0.5033000000000001,0.34500000000000014,0.3424545454545454,2.2856140350877197,0.7830994954032874,17.85673430695457,2596.934960389739,19.336637967936017,0.816012127
10,Central Africa,2013,51.60833333333334,0.6035714285714286,0.5314896349565467,0.35316461071608135,0.37550000000000006,2.231515151515151,0.9380527066053869,21.849748960926732,3689.774321203767,20.223184940826403,0.7332864640000001
11,Central Africa,2014,40.38,0.5647619047619048,0.49851008942038355,0.27810703063276593,0.37391666666666673,2.3570370370370366,0.7975404776021299,17.14122076647005,1898.2721019313105,15.774925274671851,0.77673599
12,Central Africa,2015,31.99999999999999,0.5727272727272728,0.48944000000000015,0.4067857142857142,0.3814285714285714,2.3177777777777777,0.6654826401640026,23.949037978833754,1718.9282351405948,16.016229764162738,0.725292807
13,Central Africa,2016,48.26666666666667,0.6035714285714285,0.5167326905121022,0.38198802341449406,0.3591666666666667,2.3546666666666667,0.7826556859102451,20.180299174496078,2995.349133873094,15.99796008035723,0.752304251
14,Central Africa,2017,48.38536160321828,0.6035714285714285,0.5167326905121022,0.3819880234144941,0.3591666666666667,2.3546666666666667,0.7826556859102451,19.98300945458291,3093.7561124222098,18.04158814447002,0.6906725579999999
15,Central Africa,2018,48.38536160321828,0.6599999999999999,0.5406666666666666,0.39666666666666667,0.3666666666666667,2.3546666666666667,0.7826556859102451,19.983009454582913,3380.2341676520045,18.04158814447002,0.7519798240000001
16,Eastern Africa,2003,12.427149455099768,0.6463089430894309,0.48006347528440557,0.45168141548374113,0.44913223140495867,2.4,0.6229010228599197,53.04058751259092,407.2383749120276,17.821642124337544,0.251245515
17,Eastern Africa,2004,12.427149455099768,0.6243699186991869,0.4800634752844056,0.4113816139563649,0.4426704545454545,2.4,0.5229113104448558,58.94607175828938,429.13704564628904,13.452843745659196,0.318210416
18,Eastern Africa,2005,9.75,0.5908551103368175,0.5221652924594787,0.4763242510534869,0.48742424242424226,2.0833333333333335,0.6560689653551096,52.29052939587154,490.0075064321624,11.815756158197868,0.239593645
19,Eastern Africa,2006,12.603413494717843,0.632320460704607,0.4315555555555555,0.39999999999999997,0.4387662337662337,2.25,0.7501518969792924,58.21550615662854,507.08851865667356,13.126449928209933,0.228931453
20,Eastern Africa,2007,10.953862964732535,0.588471914264597,0.48896019604074586,0.44237002360258193,0.40844696969696964,2.142857142857143,0.8117040567419412,55.22707875270889,754.9275017314702,12.886910988264296,0.277187721
21,Eastern Africa,2008,12.603413494717843,0.632320460704607,0.4758740544984732,0.3948341051713146,0.43876623376623375,2.25,0.8240822210957344,58.86534717191645,645.3325863031107,13.126449928209933,0.482206426
22,Eastern Africa,2009,12.427149455099768,0.6243699186991869,0.4589047619047619,0.40571428571428575,0.44267045454545445,2.4,0.7027165189126595,60.64390228473991,641.0650322834975,13.452843745659198,0.262567699
23,Eastern Africa,2010,13.028571428571427,0.6243699186991869,0.48006347528440557,0.4113816139563649,0.44267045454545445,2.4,1.1401302342963064,60.85940728052641,689.9411258750534,13.452843745659196,0.49923218799999997
24,Eastern Africa,2011,12.833333333333334,0.632320460704607,0.4758740544984732,0.3948341051713145,0.4387662337662337,2.25,0.873772217492802,59.85397632206635,728.1803666441333,13.126449928209933,0.6273611060000001
25,Eastern Africa,2012,9.984615384615385,0.43,0.5115384615384616,0.45538461538461544,0.48438311688311675,2.090909090909091,0.5877346242963348,54.4407900904573,900.3768092615434,11.903135742865338,0.593494596
